Date,Series,Amount,Serial,SN,Number,Place
05/08/2020,AK-457,7000000,AH,AH 143181,143181,THRISSUR
05/08/2020,AK-457,500000,AJ,AJ 166690,166690,THIRUVANANTHAPURAM
05/08/2020,AK-457,100000,AA,AA 512402,512402,VAIKKOM
05/08/2020,AK-457,100000,AB,AB 336826,336826,THRISSUR
05/08/2020,AK-457,100000,AC,AC 562565,562565,KOZHIKKODE
05/08/2020,AK-457,100000,AD,AD 567797,567797,KOTTAYAM
05/08/2020,AK-457,100000,AE,AE 284209,284209,GURUVAYOOR
05/08/2020,AK-457,100000,AF,AF 435852,435852,ALAPPUZHA
05/08/2020,AK-457,100000,AG,AG 280702,280702,ADIMALY
05/08/2020,AK-457,100000,AH,AH 232822,232822,KOLLAM
05/08/2020,AK-457,100000,AJ,AJ 142932,142932,THRISSUR
05/08/2020,AK-457,100000,AK,AK 475728,475728,THIRUVANANTHAPURAM
05/08/2020,AK-457,100000,AL,AL 190465,190465,THRISSUR
05/08/2020,AK-457,100000,AM,AM 288586,288586,THIRUR
19/08/2020,AK-459,7000000,AD,AD 242490,242490,WAYANADU
19/08/2020,AK-459,500000,AD,AD 337997,337997,GURUVAYOOR
19/08/2020,AK-459,100000,AA,AA 167786,167786,PALAKKAD
19/08/2020,AK-459,100000,AB,AB 184919,184919,KOTTAYAM
19/08/2020,AK-459,100000,AC,AC 202160,202160,ERNAKULAM
19/08/2020,AK-459,100000,AD,AD 278302,278302,MANANTHAVADY
19/08/2020,AK-459,100000,AE,AE 166002,166002,PALAKKAD
19/08/2020,AK-459,100000,AF,AF 661213,661213,CHERTHALA
19/08/2020,AK-459,100000,AG,AG 508532,508532,PUNALUR
19/08/2020,AK-459,100000,AH,AH 122758,122758,NEYYATTINKARA
19/08/2020,AK-459,100000,AJ,AJ 235058,235058,PALAKKAD
19/08/2020,AK-459,100000,AK,AK 287225,287225,PALAKKAD
19/08/2020,AK-459,100000,AL,AL 502033,502033,IDUKKI
19/08/2020,AK-459,100000,AM,AM 570865,570865,ALAPPUZHA
02/09/2020,AK-461,7000000,AM,AM 605405,605405,ERNAKULAM
02/09/2020,AK-461,500000,AB,AB 622270,622270,THIRUVANANTHAPURAM
02/09/2020,AK-461,100000,AA,AA 537231,537231,KARUNAGAPALLY
02/09/2020,AK-461,100000,AB,AB 580702,580702,WAYANADU
02/09/2020,AK-461,100000,AC,AC 585198,585198,THRISSUR
02/09/2020,AK-461,100000,AD,AD 213124,213124,THIRUVANANTHAPURAM
02/09/2020,AK-461,100000,AE,AE 427139,427139,THIRUVANANTHAPURAM
02/09/2020,AK-461,100000,AF,AF 594115,594115,KOZHIKKODE
02/09/2020,AK-461,100000,AG,AG 229143,229143,ERNAKULAM
02/09/2020,AK-461,100000,AH,AH 241765,241765,KOTTAYAM
02/09/2020,AK-461,100000,AJ,AJ 462404,462404,KOTTAYAM
02/09/2020,AK-461,100000,AK,AK 671690,671690,PUNALUR
02/09/2020,AK-461,100000,AL,AL 541914,541914,PAYYANUR
02/09/2020,AK-461,100000,AM,AM 715299,715299,ERNAKULAM
16/09/2020,AK-463,7000000,AB,AB 796407,796407,KOTTAYAM
16/09/2020,AK-463,500000,AM,AM 417412,417412,PALAKKAD
16/09/2020,AK-463,100000,AA,AA 622668,622668,KOTTAYAM
16/09/2020,AK-463,100000,AB,AB 384939,384939,PALAKKAD
16/09/2020,AK-463,100000,AC,AC 466456,466456,NEYYATTINKARA
16/09/2020,AK-463,100000,AD,AD 276655,276655,THIRUR
16/09/2020,AK-463,100000,AE,AE 765430,765430,GURUVAYOOR
16/09/2020,AK-463,100000,AF,AF 731792,731792,MANANTHAVADY
16/09/2020,AK-463,100000,AG,AG 599417,599417,PATHANAMTHITTA
16/09/2020,AK-463,100000,AH,AH 731446,731446,MANANTHAVADY
16/09/2020,AK-463,100000,AJ,AJ 735530,735530,MOOVATTUPUZHA
16/09/2020,AK-463,100000,AK,AK 287579,287579,IRINJALAKUDA
16/09/2020,AK-463,100000,AL,AL 148752,148752,KOTTAYAM
16/09/2020,AK-463,100000,AM,AM 772266,772266,ADOOR
30/09/2020,AK-465,7000000,AL,AL 846510,846510,KANNUR
30/09/2020,AK-465,500000,AK,AK 284932,284932,VADAKARA
30/09/2020,AK-465,100000,AA,AA 708644,708644,ERNAKULAM
30/09/2020,AK-465,100000,AB,AB 103264,103264,THRISSUR
30/09/2020,AK-465,100000,AC,AC 449887,449887,IRINJALAKUDA
30/09/2020,AK-465,100000,AD,AD 534589,534589,KARUNAGAPALLY
30/09/2020,AK-465,100000,AE,AE 108029,108029,NEYYATTINKARA
30/09/2020,AK-465,100000,AF,AF 731835,731835,MANANTHAVADY
30/09/2020,AK-465,100000,AG,AG 750398,750398,KANNUR
30/09/2020,AK-465,100000,AH,AH 817927,817927,ADIMALY
30/09/2020,AK-465,100000,AJ,AJ 377953,377953,PALAKKAD
30/09/2020,AK-465,100000,AK,AK 372790,372790,ERNAKULAM
30/09/2020,AK-465,100000,AL,AL 815414,815414,KARUNAGAPALLY
30/09/2020,AK-465,100000,AM,AM 273721,273721,CHERTHALA
07/10/2020,AK-466,7000000,AN,AN 489735,489735,PUNALUR
07/10/2020,AK-466,500000,AW,AW 407669,407669,ERNAKULAM
07/10/2020,AK-466,100000,AN,AN 187299,187299,ERNAKULAM
07/10/2020,AK-466,100000,AO,AO 500899,500899,ERNAKULAM
07/10/2020,AK-466,100000,AP,AP 846236,846236,KOLLAM
07/10/2020,AK-466,100000,AR,AR 221630,221630,ERNAKULAM
07/10/2020,AK-466,100000,AS,AS 414588,414588,KOTTAYAM
07/10/2020,AK-466,100000,AT,AT 675645,675645,MALAPPURAM
07/10/2020,AK-466,100000,AU,AU 405474,405474,ERNAKULAM
07/10/2020,AK-466,100000,AV,AV 396469,396469,ERNAKULAM
07/10/2020,AK-466,100000,AW,AW 297329,297329,PATTAMBI
07/10/2020,AK-466,100000,AX,AX 234878,234878,KOTTAYAM
07/10/2020,AK-466,100000,AY,AY 764786,764786,PATTAMBI
07/10/2020,AK-466,100000,AZ,AZ 483928,483928,ATTINGAL
14/10/2020,AK-467,7000000,AE,AE 509910,509910,KARUNAGAPALLY
14/10/2020,AK-467,500000,AL,AL 505535,505535,KANHANGAD
14/10/2020,AK-467,100000,AA,AA 325036,325036,IRINJALAKUDA
14/10/2020,AK-467,100000,AB,AB 150000,150000,KOLLAM
14/10/2020,AK-467,100000,AC,AC 594081,594081,PALAKKAD
14/10/2020,AK-467,100000,AD,AD 745278,745278,VAIKKOM
14/10/2020,AK-467,100000,AE,AE 729470,729470,KOLLAM
14/10/2020,AK-467,100000,AF,AF 250386,250386,PALAKKAD
14/10/2020,AK-467,100000,AG,AG 505608,505608,KANHANGAD
14/10/2020,AK-467,100000,AH,AH 167892,167892,THRISSUR
14/10/2020,AK-467,100000,AJ,AJ 611465,611465,THRISSUR
14/10/2020,AK-467,100000,AK,AK 815483,815483,THIRUR
14/10/2020,AK-467,100000,AL,AL 129800,129800,CHITTUR
14/10/2020,AK-467,100000,AM,AM 544419,544419,IDUKKI
21/10/2020,AK-468,7000000,AN,AN 333853,333853,CHITTUR
21/10/2020,AK-468,500000,AY,AY 140047,140047,KOZHIKKODE
21/10/2020,AK-468,100000,AN,AN 741864,741864,VAIKKOM
21/10/2020,AK-468,100000,AO,AO 666285,666285,PATTAMBI
21/10/2020,AK-468,100000,AP,AP 440021,440021,KANNUR
21/10/2020,AK-468,100000,AR,AR 692933,692933,KANNUR
21/10/2020,AK-468,100000,AS,AS 763242,763242,THRISSUR
21/10/2020,AK-468,100000,AT,AT 307149,307149,MOOVATTUPUZHA
21/10/2020,AK-468,100000,AU,AU 205502,205502,MALAPPURAM
21/10/2020,AK-468,100000,AV,AV 411456,411456,WAYANADU
21/10/2020,AK-468,100000,AW,AW 551588,551588,MALAPPURAM
21/10/2020,AK-468,100000,AX,AX 514600,514600,IRINJALAKUDA
21/10/2020,AK-468,100000,AY,AY 372262,372262,KOLLAM
21/10/2020,AK-468,100000,AZ,AZ 246362,246362,ALAPPUZHA
28/10/2020,AK-469,7000000,AE,AE 220631,220631,THRISSUR
28/10/2020,AK-469,500000,AH,AH 198949,198949,KOTTAYAM
28/10/2020,AK-469,100000,AA,AA 380764,380764,KOTTAYAM
28/10/2020,AK-469,100000,AB,AB 296782,296782,NEYYATTINKARA
28/10/2020,AK-469,100000,AC,AC 750782,750782,MALAPPURAM
28/10/2020,AK-469,100000,AD,AD 203227,203227,KOTTAYAM
28/10/2020,AK-469,100000,AE,AE 772110,772110,KAYAMKULAM
28/10/2020,AK-469,100000,AF,AF 720878,720878,ERNAKULAM
28/10/2020,AK-469,100000,AG,AG 157729,157729,THIRUVANANTHAPURAM
28/10/2020,AK-469,100000,AH,AH 520540,520540,PUNALUR
28/10/2020,AK-469,100000,AJ,AJ 772214,772214,KAYAMKULAM
28/10/2020,AK-469,100000,AK,AK 636214,636214,GURUVAYOOR
28/10/2020,AK-469,100000,AL,AL 127289,127289,CHITTUR
28/10/2020,AK-469,100000,AM,AM 655966,655966,VAIKKOM
04/11/2020,AK-470,7000000,AY,AY 267576,267576,NEYYATTINKARA
04/11/2020,AK-470,500000,AT,AT 836427,836427,KARUNAGAPALLY
04/11/2020,AK-470,100000,AN,AN 632072,632072,ADIMALY
04/11/2020,AK-470,100000,AO,AO 247566,247566,ALAPPUZHA
04/11/2020,AK-470,100000,AP,AP 240565,240565,THIRUVANANTHAPURAM
04/11/2020,AK-470,100000,AR,AR 512269,512269,IRINJALAKUDA
04/11/2020,AK-470,100000,AS,AS 489530,489530,KAYAMKULAM
04/11/2020,AK-470,100000,AT,AT 240326,240326,THIRUVANANTHAPURAM
04/11/2020,AK-470,100000,AU,AU 739900,739900,THRISSUR
04/11/2020,AK-470,100000,AV,AV 132200,132200,PATTAMBI
04/11/2020,AK-470,100000,AW,AW 747799,747799,KARUNAGAPALLY
04/11/2020,AK-470,100000,AX,AX 779099,779099,ERNAKULAM
04/11/2020,AK-470,100000,AY,AY 774742,774742,THIRUVANANTHAPURAM
04/11/2020,AK-470,100000,AZ,AZ 846422,846422,IRINJALAKUDA
11/11/2020,AK-471,7000000,AM,AM 681417,681417,VAIKKOM
11/11/2020,AK-471,500000,AB,AB 844317,844317,PAYYANUR
11/11/2020,AK-471,100000,AA,AA 404433,404433,KOLLAM
11/11/2020,AK-471,100000,AB,AB 524522,524522,PAYYANUR
11/11/2020,AK-471,100000,AC,AC 567654,567654,WAYANADU
11/11/2020,AK-471,100000,AD,AD 429178,429178,KANNUR
11/11/2020,AK-471,100000,AE,AE 476194,476194,KARUNAGAPALLY
11/11/2020,AK-471,100000,AF,AF 830668,830668,KASARAGOD
11/11/2020,AK-471,100000,AG,AG 814550,814550,ERNAKULAM
11/11/2020,AK-471,100000,AH,AH 520167,520167,GURUVAYOOR
11/11/2020,AK-471,100000,AJ,AJ 430394,430394,KOZHIKKODE
11/11/2020,AK-471,100000,AK,AK 334147,334147,GURUVAYOOR
11/11/2020,AK-471,100000,AL,AL 607764,607764,ERNAKULAM
11/11/2020,AK-471,100000,AM,AM 795605,795605,GURUVAYOOR
18/11/2020,AK-472,7000000,AY,AY 456030,456030,GURUVAYOOR
18/11/2020,AK-472,500000,AV,AV 399288,399288,KOZHIKKODE
18/11/2020,AK-472,100000,AN,AN 476768,476768,IRINJALAKUDA
18/11/2020,AK-472,100000,AO,AO 389481,389481,KOTTAYAM
18/11/2020,AK-472,100000,AP,AP 427248,427248,PALAKKAD
18/11/2020,AK-472,100000,AR,AR 342683,342683,GURUVAYOOR
18/11/2020,AK-472,100000,AS,AS 139067,139067,THIRUVANANTHAPURAM
18/11/2020,AK-472,100000,AT,AT 879543,879543,PAYYANUR
18/11/2020,AK-472,100000,AU,AU 303558,303558,ERNAKULAM
18/11/2020,AK-472,100000,AV,AV 597213,597213,KOLLAM
18/11/2020,AK-472,100000,AW,AW 588112,588112,THRISSUR
18/11/2020,AK-472,100000,AX,AX 494122,494122,ADOOR
18/11/2020,AK-472,100000,AY,AY 673396,673396,ALAPPUZHA
18/11/2020,AK-472,100000,AZ,AZ 199906,199906,KANNUR
25/11/2020,AK-473,7000000,AM,AM 342702,342702,GURUVAYOOR
25/11/2020,AK-473,500000,AL,AL 686097,686097,GURUVAYOOR
25/11/2020,AK-473,100000,AA,AA 489826,489826,VADAKARA
25/11/2020,AK-473,100000,AB,AB 678284,678284,KAYAMKULAM
25/11/2020,AK-473,100000,AC,AC 307962,307962,CHITTUR
25/11/2020,AK-473,100000,AD,AD 508828,508828,PATTAMBI
25/11/2020,AK-473,100000,AE,AE 559784,559784,THRISSUR
25/11/2020,AK-473,100000,AF,AF 717078,717078,KOTTAYAM
25/11/2020,AK-473,100000,AG,AG 717752,717752,KOTTAYAM
25/11/2020,AK-473,100000,AH,AH 142025,142025,KOTTAYAM
25/11/2020,AK-473,100000,AJ,AJ 852061,852061,MALAPPURAM
25/11/2020,AK-473,100000,AK,AK 118031,118031,PATTAMBI
25/11/2020,AK-473,100000,AL,AL 683261,683261,KOTTAYAM
25/11/2020,AK-473,100000,AM,AM 756029,756029,KASARAGOD
02/12/2020,AK-474,7000000,AN,AN 222347,222347,KOTTAYAM
02/12/2020,AK-474,500000,AO,AO 869317,869317,PATTAMBI
02/12/2020,AK-474,100000,AN,AN 109605,109605,PATTAMBI
02/12/2020,AK-474,100000,AO,AO 159203,159203,PALAKKAD
02/12/2020,AK-474,100000,AP,AP 698960,698960,PATTAMBI
02/12/2020,AK-474,100000,AR,AR 651481,651481,KARUNAGAPALLY
02/12/2020,AK-474,100000,AS,AS 643288,643288,KOZHIKKODE
02/12/2020,AK-474,100000,AT,AT 178421,178421,KOTTAYAM
02/12/2020,AK-474,100000,AU,AU 870457,870457,PATTAMBI
02/12/2020,AK-474,100000,AV,AV 474840,474840,KAYAMKULAM
02/12/2020,AK-474,100000,AW,AW 390911,390911,KOTTAYAM
02/12/2020,AK-474,100000,AX,AX 503069,503069,KANHANGAD
02/12/2020,AK-474,100000,AY,AY 582753,582753,PALAKKAD
02/12/2020,AK-474,100000,AZ,AZ 671668,671668,IRINJALAKUDA
09/12/2020,AK-475,7000000,AA,AA 548999,548999,THIRUVANANTHAPURAM
09/12/2020,AK-475,500000,AJ,AJ 255537,255537,ERNAKULAM
09/12/2020,AK-475,100000,AA,AA 275776,275776,MANANTHAVADY
09/12/2020,AK-475,100000,AB,AB 446670,446670,KOTTAYAM
09/12/2020,AK-475,100000,AC,AC 631830,631830,NEYYATTINKARA
09/12/2020,AK-475,100000,AD,AD 146443,146443,KOTTAYAM
09/12/2020,AK-475,100000,AE,AE 737306,737306,PATTAMBI
09/12/2020,AK-475,100000,AF,AF 211929,211929,PALAKKAD
09/12/2020,AK-475,100000,AG,AG 320058,320058,NEYYATTINKARA
09/12/2020,AK-475,100000,AH,AH 197704,197704,THRISSUR
09/12/2020,AK-475,100000,AJ,AJ 644287,644287,ATTINGAL
09/12/2020,AK-475,100000,AK,AK 391042,391042,THRISSUR
09/12/2020,AK-475,100000,AL,AL 725419,725419,KOTTAYAM
09/12/2020,AK-475,100000,AM,AM 594479,594479,PALAKKAD
16/12/2020,AK-476,7000000,AS,AS 468435,468435,ATTINGAL
16/12/2020,AK-476,500000,AV,AV 728588,728588,KOTTAYAM
16/12/2020,AK-476,100000,AN,AN 163211,163211,ERNAKULAM
16/12/2020,AK-476,100000,AO,AO 735084,735084,CHITTUR
16/12/2020,AK-476,100000,AP,AP 756731,756731,KASARAGOD
16/12/2020,AK-476,100000,AR,AR 468839,468839,ATTINGAL
16/12/2020,AK-476,100000,AS,AS 276855,276855,GURUVAYOOR
16/12/2020,AK-476,100000,AT,AT 594152,594152,PATHANAMTHITTA
16/12/2020,AK-476,100000,AU,AU 322981,322981,THAMARASSERY
16/12/2020,AK-476,100000,AV,AV 788512,788512,ADOOR
16/12/2020,AK-476,100000,AW,AW 814532,814532,ALAPPUZHA
16/12/2020,AK-476,100000,AX,AX 349241,349241,PATHANAMTHITTA
16/12/2020,AK-476,100000,AY,AY 861059,861059,KARUNAGAPALLY
16/12/2020,AK-476,100000,AZ,AZ 742970,742970,THIRUVANANTHAPURAM
23/12/2020,AK-477,7000000,AE,AE 620096,620096,KOZHIKKODE
23/12/2020,AK-477,500000,AK,AK 140627,140627,THRISSUR
23/12/2020,AK-477,100000,AA,AA 364115,364115,MALAPPURAM
23/12/2020,AK-477,100000,AB,AB 575060,575060,THRISSUR
23/12/2020,AK-477,100000,AC,AC 778985,778985,CHERTHALA
23/12/2020,AK-477,100000,AD,AD 110765,110765,NEYYATTINKARA
23/12/2020,AK-477,100000,AE,AE 643498,643498,VAIKKOM
23/12/2020,AK-477,100000,AF,AF 508010,508010,MOOVATTUPUZHA
23/12/2020,AK-477,100000,AG,AG 124475,124475,ADOOR
23/12/2020,AK-477,100000,AH,AH 627388,627388,THIRUVANANTHAPURAM
23/12/2020,AK-477,100000,AJ,AJ 120728,120728,MOOVATTUPUZHA
23/12/2020,AK-477,100000,AK,AK 408564,408564,ALAPPUZHA
23/12/2020,AK-477,100000,AL,AL 572057,572057,KOTTAYAM
23/12/2020,AK-477,100000,AM,AM 785180,785180,KANNUR
30/12/2020,AK-478,7000000,AW,AW 228972,228972,ERNAKULAM
30/12/2020,AK-478,500000,AZ,AZ 317648,317648,ATTINGAL
30/12/2020,AK-478,100000,AN,AN 829275,829275,THRISSUR
30/12/2020,AK-478,100000,AO,AO 348205,348205,PALAKKAD
30/12/2020,AK-478,100000,AP,AP 841317,841317,MOOVATTUPUZHA
30/12/2020,AK-478,100000,AR,AR 712223,712223,PATTAMBI
30/12/2020,AK-478,100000,AS,AS 574065,574065,PALAKKAD
30/12/2020,AK-478,100000,AT,AT 713525,713525,PATTAMBI
30/12/2020,AK-478,100000,AU,AU 393469,393469,ALAPPUZHA
30/12/2020,AK-478,100000,AV,AV 617837,617837,THRISSUR
30/12/2020,AK-478,100000,AW,AW 518495,518495,CHITTUR
30/12/2020,AK-478,100000,AX,AX 371832,371832,THRISSUR
30/12/2020,AK-478,100000,AY,AY 221550,221550,KANNUR
30/12/2020,AK-478,100000,AZ,AZ 687072,687072,PALAKKAD
06/01/2021,AK-479,7000000,AJ,AJ 127101,127101,IRINJALAKUDA
06/01/2021,AK-479,500000,AM,AM 313478,313478,GURUVAYOOR
06/01/2021,AK-479,100000,AA,AA 767340,767340,ADOOR
06/01/2021,AK-479,100000,AB,AB 614844,614844,ATTINGAL
06/01/2021,AK-479,100000,AC,AC 297510,297510,GURUVAYOOR
06/01/2021,AK-479,100000,AD,AD 177752,177752,PALAKKAD
06/01/2021,AK-479,100000,AE,AE 135255,135255,THAMARASSERY
06/01/2021,AK-479,100000,AF,AF 640425,640425,PALAKKAD
06/01/2021,AK-479,100000,AG,AG 273957,273957,PATTAMBI
06/01/2021,AK-479,100000,AH,AH 242411,242411,THIRUVANANTHAPURAM
06/01/2021,AK-479,100000,AJ,AJ 699456,699456,KANHANGAD
06/01/2021,AK-479,100000,AK,AK 779353,779353,PATHANAMTHITTA
06/01/2021,AK-479,100000,AL,AL 607914,607914,KASARAGOD
06/01/2021,AK-479,100000,AM,AM 686777,686777,NEYYATTINKARA
13/01/2021,AK-480,7000000,AS,AS 175085,175085,ERNAKULAM
13/01/2021,AK-480,500000,AP,AP 172463,172463,ERNAKULAM
13/01/2021,AK-480,100000,AN,AN 818857,818857,PAYYANUR
13/01/2021,AK-480,100000,AO,AO 657830,657830,PATTAMBI
13/01/2021,AK-480,100000,AP,AP 359711,359711,PALAKKAD
13/01/2021,AK-480,100000,AR,AR 540570,540570,PATTAMBI
13/01/2021,AK-480,100000,AS,AS 375060,375060,KANNUR
13/01/2021,AK-480,100000,AT,AT 783808,783808,CHERTHALA
13/01/2021,AK-480,100000,AU,AU 811640,811640,ATTINGAL
13/01/2021,AK-480,100000,AV,AV 713635,713635,MANANTHAVADY
13/01/2021,AK-480,100000,AW,AW 546055,546055,KOZHIKKODE
13/01/2021,AK-480,100000,AX,AX 618564,618564,KOTTAYAM
13/01/2021,AK-480,100000,AY,AY 433621,433621,PATTAMBI
13/01/2021,AK-480,100000,AZ,AZ 528991,528991,KARUNAGAPALLY
20/01/2021,AK-481,7000000,AA,AA 194677,194677,THRISSUR
20/01/2021,AK-481,500000,AM,AM 375806,375806,PATHANAMTHITTA
20/01/2021,AK-481,100000,AA,AA 849270,849270,KASARAGOD
20/01/2021,AK-481,100000,AB,AB 699176,699176,MOOVATTUPUZHA
20/01/2021,AK-481,100000,AC,AC 283024,283024,MOOVATTUPUZHA
20/01/2021,AK-481,100000,AD,AD 345781,345781,KOLLAM
20/01/2021,AK-481,100000,AE,AE 746807,746807,ATTINGAL
20/01/2021,AK-481,100000,AF,AF 654172,654172,GURUVAYOOR
20/01/2021,AK-481,100000,AG,AG 519502,519502,PAYYANUR
20/01/2021,AK-481,100000,AH,AH 732858,732858,THAMARASSERY
20/01/2021,AK-481,100000,AJ,AJ 450404,450404,KOLLAM
20/01/2021,AK-481,100000,AK,AK 837634,837634,ATTINGAL
20/01/2021,AK-481,100000,AL,AL 546124,546124,KANNUR
20/01/2021,AK-481,100000,AM,AM 627926,627926,PATHANAMTHITTA
27/01/2021,AK-482,7000000,AZ,AZ 805153,805153,THRISSUR
27/01/2021,AK-482,500000,AS,AS 498053,498053,KANHANGAD
27/01/2021,AK-482,100000,AN,AN 445705,445705,GURUVAYOOR
27/01/2021,AK-482,100000,AO,AO 493721,493721,VAIKKOM
27/01/2021,AK-482,100000,AP,AP 464603,464603,THIRUVANANTHAPURAM
27/01/2021,AK-482,100000,AR,AR 215487,215487,KANNUR
27/01/2021,AK-482,100000,AS,AS 453882,453882,ALAPPUZHA
27/01/2021,AK-482,100000,AT,AT 608199,608199,KAYAMKULAM
27/01/2021,AK-482,100000,AU,AU 640141,640141,IRINJALAKUDA
27/01/2021,AK-482,100000,AV,AV 609998,609998,KAYAMKULAM
27/01/2021,AK-482,100000,AW,AW 209042,209042,KOZHIKKODE
27/01/2021,AK-482,100000,AX,AX 633619,633619,KANNUR
27/01/2021,AK-482,100000,AY,AY 348977,348977,ALAPPUZHA
27/01/2021,AK-482,100000,AZ,AZ 483729,483729,PATTAMBI
03/02/2021,AK-483,7000000,AK,AK 716935,716935,PAYYANUR
03/02/2021,AK-483,500000,AJ,AJ 256576,256576,THRISSUR
03/02/2021,AK-483,100000,AA,AA 316985,316985,MOOVATTUPUZHA
03/02/2021,AK-483,100000,AB,AB 397870,397870,THIRUVANANTHAPURAM
03/02/2021,AK-483,100000,AC,AC 569741,569741,PALAKKAD
03/02/2021,AK-483,100000,AD,AD 132812,132812,IRINJALAKUDA
03/02/2021,AK-483,100000,AE,AE 628927,628927,MALAPPURAM
03/02/2021,AK-483,100000,AF,AF 430021,430021,KANNUR
03/02/2021,AK-483,100000,AG,AG 476693,476693,ADOOR
03/02/2021,AK-483,100000,AH,AH 604578,604578,KANNUR
03/02/2021,AK-483,100000,AJ,AJ 330083,330083,VAIKKOM
03/02/2021,AK-483,100000,AK,AK 425113,425113,PALAKKAD
03/02/2021,AK-483,100000,AL,AL 155314,155314,KOTTAYAM
03/02/2021,AK-483,100000,AM,AM 829210,829210,THAMARASSERY
10/02/2021,AK-484,7000000,AV,AV 248225,248225,KOTTAYAM
10/02/2021,AK-484,500000,AZ,AZ 342307,342307,THRISSUR
10/02/2021,AK-484,100000,AN,AN 708582,708582,ADIMALY
10/02/2021,AK-484,100000,AO,AO 176766,176766,KANNUR
10/02/2021,AK-484,100000,AP,AP 179149,179149,KANNUR
10/02/2021,AK-484,100000,AR,AR 630112,630112,KASARAGOD
10/02/2021,AK-484,100000,AS,AS 506155,506155,PUNALUR
10/02/2021,AK-484,100000,AT,AT 165751,165751,KOZHIKKODE
10/02/2021,AK-484,100000,AU,AU 305885,305885,CHERTHALA
10/02/2021,AK-484,100000,AV,AV 649196,649196,KATTAPPANA
10/02/2021,AK-484,100000,AW,AW 538918,538918,IRINJALAKUDA
10/02/2021,AK-484,100000,AX,AX 425754,425754,PALAKKAD
10/02/2021,AK-484,100000,AY,AY 671028,671028,VADAKARA
10/02/2021,AK-484,100000,AZ,AZ 209468,209468,THIRUVANANTHAPURAM
17/02/2021,AK-485,7000000,AK,AK 635711,635711,KOTTAYAM
17/02/2021,AK-485,500000,AB,AB 698424,698424,VADAKARA
17/02/2021,AK-485,100000,AA,AA 139947,139947,KANHANGAD
17/02/2021,AK-485,100000,AB,AB 403153,403153,THRISSUR
17/02/2021,AK-485,100000,AC,AC 788500,788500,THIRUVANANTHAPURAM
17/02/2021,AK-485,100000,AD,AD 770259,770259,MANANTHAVADY
17/02/2021,AK-485,100000,AE,AE 189690,189690,THRISSUR
17/02/2021,AK-485,100000,AF,AF 837103,837103,THRISSUR
17/02/2021,AK-485,100000,AG,AG 342013,342013,GURUVAYOOR
17/02/2021,AK-485,100000,AH,AH 858836,858836,KAYAMKULAM
17/02/2021,AK-485,100000,AJ,AJ 653745,653745,KAYAMKULAM
17/02/2021,AK-485,100000,AK,AK 740786,740786,CHITTUR
17/02/2021,AK-485,100000,AL,AL 590738,590738,PATHANAMTHITTA
17/02/2021,AK-485,100000,AM,AM 429768,429768,KOLLAM
24/02/2021,AK-486,7000000,AW,AW 622583,622583,THIRUVANANTHAPURAM
24/02/2021,AK-486,500000,AT,AT 710457,710457,MOOVATTUPUZHA
24/02/2021,AK-486,100000,AN,AN 209085,209085,ALAPPUZHA
24/02/2021,AK-486,100000,AO,AO 531885,531885,KATTAPPANA
24/02/2021,AK-486,100000,AP,AP 826076,826076,KOLLAM
24/02/2021,AK-486,100000,AR,AR 355324,355324,MALAPPURAM
24/02/2021,AK-486,100000,AS,AS 189418,189418,KANNUR
24/02/2021,AK-486,100000,AT,AT 652813,652813,KANHANGAD
24/02/2021,AK-486,100000,AU,AU 583555,583555,IDUKKI
24/02/2021,AK-486,100000,AV,AV 238563,238563,KOTTAYAM
24/02/2021,AK-486,100000,AW,AW 805109,805109,MALAPPURAM
24/02/2021,AK-486,100000,AX,AX 156280,156280,THRISSUR
24/02/2021,AK-486,100000,AY,AY 751579,751579,ERNAKULAM
24/02/2021,AK-486,100000,AZ,AZ 482834,482834,IRINJALAKUDA
03/03/2021,AK-487,7000000,AJ,AJ 107944,107944,KANHANGAD
03/03/2021,AK-487,500000,AM,AM 706801,706801,KATTAPPANA
03/03/2021,AK-487,100000,AA,AA 713399,713399,ATTINGAL
03/03/2021,AK-487,100000,AB,AB 503011,503011,IRINJALAKUDA
03/03/2021,AK-487,100000,AC,AC 443415,443415,GURUVAYOOR
03/03/2021,AK-487,100000,AD,AD 108717,108717,MOOVATTUPUZHA
03/03/2021,AK-487,100000,AE,AE 689312,689312,KASARAGOD
03/03/2021,AK-487,100000,AF,AF 593787,593787,ERNAKULAM
03/03/2021,AK-487,100000,AG,AG 388666,388666,ERNAKULAM
03/03/2021,AK-487,100000,AH,AH 351702,351702,ALAPPUZHA
03/03/2021,AK-487,100000,AJ,AJ 508239,508239,GURUVAYOOR
03/03/2021,AK-487,100000,AK,AK 102663,102663,KANNUR
03/03/2021,AK-487,100000,AL,AL 652482,652482,NEYYATTINKARA
03/03/2021,AK-487,100000,AM,AM 353363,353363,ALAPPUZHA
10/03/2021,AK-488,7000000,AS,AS 639535,639535,IDUKKI
10/03/2021,AK-488,500000,AP,AP 260705,260705,THIRUVANANTHAPURAM
10/03/2021,AK-488,100000,AN,AN 770310,770310,MOOVATTUPUZHA
10/03/2021,AK-488,100000,AO,AO 773742,773742,PALAKKAD
10/03/2021,AK-488,100000,AP,AP 595766,595766,THRISSUR
10/03/2021,AK-488,100000,AR,AR 442448,442448,MOOVATTUPUZHA
